realty_id,realty_type_ID,original_or_copy,link_original_ID,total_price_USD,square_meter_price_USD,credit,E_oselya
32795008,1434,copy,32794733,34 282,599,NO,NO
32795432,1434,copy,32752694,22 854,685,NO,NO
32805593,1434,original, ,28 568,501,NO,NO
32805590,1434,original, ,65 707,1173,NO,YES
32805573,1434,original, ,54 279,1180,NO,NO
32805531,1434,original, ,22 378,497,NO,NO
32798101,1434,copy,32775205,66 659,1093,NO,NO
32800999,1434,copy,32798758,39 995,785,NO,NO
32795185,1434,copy,32790928,99 988,1286,NO,NO
32795184,1434,copy,32790928,99 988,1286,NO,NO
32798028,1434,original, ,25 711,604,NO,NO
32798126,1434,copy,32668232,26 664,888,NO,NO
32788641,1434,copy,32726961,54 279,1010,NO,NO
32759714,1434,original, ,52 374,935,NO,NO
32771872,1434,copy,32560005,50 470,788,NO,NO
32773962,1434,copy,31988286,109 511,1064,NO,NO
32746280,1436,original, ,53 327,1016,NO,NO
32774179,1434,original, ,64 754,967,NO,NO
32805184,1434,original, ,128 556,2338,NO,NO
32804935,1434,original, ,54 279,1357,NO,NO
32776976,1434,copy,32769750,61 898,1126,NO,NO
32774474,1434,copy,32769750,61 898,1126,NO,NO
32805120,1436,original, ,50 470,950,NO,YES
32805097,1436,original, ,53 327,928,NO,YES
32271564,1434,original, ,94 275,1714,NO,NO
32805050,1434,original, ,27 616,629,NO,NO
32796348,1434,copy,32693466,75 229,1355,NO,NO
32804960,1434,copy,32746214,35 234,618,NO,NO
32804951,1434,original, ,32 377,568,NO,NO
32804947,1434,original, ,32 377,540,NO,NO
32804891,1434,original, ,101 893,1499,NO,NO
32804865,1434,copy,32701303,60 945,1386,NO,YES
32804887,1434,original, ,28 568,772,NO,NO
32804854,1434,copy,32799259,26 664,452,NO,NO
32804836,1434,copy,32457627,45 709,737,NO,NO
32804833,1434,copy,32625715,33 329,653,NO,NO
31376786,1434,original, ,40 852,888,NO,NO
32490914,1434,original, ,90 466,1809,NO,YES
32488011,1434,original, ,75 229,1749,NO,YES
32488053,1434,original, ,49 518,1207,NO,YES
32488041,1434,original, ,76 182,1524,NO,YES
32487997,1434,original, ,84 752,1729,NO,NO
32487990,1434,original, ,78 086,1593,NO,YES
32487931,1434,copy,32690144,85 704,1261,NO,YES
32795144,1434,copy,32783884,40 948,968,NO,NO
32795128,1434,copy,32191253,180 931,1444,NO,NO
32795092,1434,copy,32693497,45 709,802,NO,NO
32794733,1434,original, ,34 282,599,NO,NO
32804757,1434,original, ,54 279,1086,NO,NO
32795014,1434,copy,32794733,34 282,591,NO,NO
32787343,1434,copy,25930250,34 282,541,NO,NO
32804720,1434,original, ,69 516,1159,NO,NO
32804682,1434,original, ,48 566,1104,NO,YES
32793050,1434,copy,32790928,99 988,1286,NO,NO
32794111,1434,copy,32191253,180 931,1444,NO,NO
32794126,1434,copy,32705120,47 614,1058,NO,NO
32794072,1434,original, ,36 186,762,NO,NO
32804522,1434,original, ,62 850,1397,NO,NO
32804541,1434,copy,32279393,62 850,748,NO,NO
32804536,1434,original, ,42 852,1006,NO,NO
32793911,1434,copy,32427729,85 704,1034,NO,NO
32793639,1434,original, ,41 900,607,NO,NO
32793626,1434,copy,32763422,36 186,566,NO,NO
32793739,1434,copy,32752694,22 854,685,NO,NO
32804399,1434,copy,31122221,30 473,476,NO,NO
32804381,1434,original, ,53 327,874,NO,NO
32788237,1434,copy,32777744,63 802,1440,NO,NO
32804302,1434,copy,32790928,99 988,1286,NO,NO
32804217,1434,original, ,27 616,747,NO,NO
32266208,1434,copy,31720501,41 900,635,NO,NO
32804207,1434,original, ,59 993,1305,NO,NO
32788068,1434,copy,32774416,49 994,1163,NO,NO
32804173,1434,original, ,94 275,1521,NO,NO
32804140,1473,original, ,33 520,1047,NO,YES
32804135,1473,original, ,60 755,1047,NO,YES
